PRECINCTID,CONSOLIDATED WITH,NAME,STREET,CITY,STATE,ZIP
01-001,,CALVERTON ELEMENTARY SCHOOL,3400 BELTSVILLE RD,BELTSVILLE,MD,20705
01-002,,BELTSVILLE COMMUNITY CENTER,3900 SELLMAN RD,BELTSVILLE,MD,20705
01-003,,HIGH POINT HIGH SCHOOL,3601 POWDER MILL RD,BELTSVILLE,MD,20705
01-004,,M L KING JR MIDDLE SCHOOL,4545 AMMENDALE RD,BELTSVILLE,MD,20705
01-005,,BELTSVILLE ACADEMY,4300 WICOMICO AVE,BELTSVILLE,MD,20705
01-006,,VANSVILLE ELEMENTARY SCHOOL,6813 AMMENDALE RD,BELTSVILLE,MD,20705
01-007,,RIDERWOOD RETIREMENT VILLAGE,3140 GRACEFIELD RD,SILVER SPRING,MD,20904
01-008,,COLLEGE PARK CHURCH OF THE NAZARENE,9704 RHODE ISLAND AVE,COLLEGE PARK,MD,20740
02-001,,BLADENSBURG ELEM  SCH - MPR,4915 ANNAPOLIS RD,BLADENSBURG,MD,20710
02-002,,COLMAR MANOR TOWN HALL/COMMUNITY CTR,3701 LAWRENCE ST,COLMAR MANOR,MD,20722
02-003,,GLADYS NOON SPELLMAN ELEM SCH - GYM,3324 64TH AVE,CHEVERLY,MD,20785
02-004,,LANDOVER HILLS TOWN HALL,6904 TAYLOR ST,LANDOVER HILLS,MD,20784
02-005,02-011,ROGERS HEIGHTS ELEM SCH - MPR,4301 58TH AVE,BLADENSBURG,MD,20710
02-006,,BEACON HEIGHTS ELEM SCH,6929 FURMAN PKY,RIVERDALE,MD,20737
02-007,18-012,JUDITH P HOYER EARLY CHILD CTR - GYM,2300 BELLEVIEW AVENUE,CHEVERLY,MD,20785
02-008,,BLADENSBURG COMMUNITY CENTER,4500 57TH AVENUE,BLADENSBURG,MD,20710
02-009,,COOPER LANE ELEM SCH - MPR,3817 COOPER LA,LANDOVER HILLS,MD,20784
02-010,,WEST LANHAM HILLS RECREATION CENTER,7700 DECATUR RD,LANDOVER HILLS,MD,20784
03-001,,UNION UNITED METHODIST CHURCH,14418 OLD MARLBORO PIKE,UPPER MARLBORO,MD,20772
03-002,03-008,PATUXENT COMMUNITY CENTER,4410 BISHOPMILL DR,UPPER MARLBORO,MD,20772
03-003,,ST MARY OF THE ASSUMPTION SCHOOL,4610 LARGO RD,UPPER MARLBORO,MD,20772
03-004,,PERRYWOOD ELEMENTARY SCHOOL,501 WATKINS PARK DR,UPPER MARLBORO,MD,20774
03-005,,UPPER MARLBORO COMMUNITY CENTER,5400 MARLBORO RACE TRACK ROAD,UPPER MARLBORO,MD,20772
03-006,07-012,FIRST BAPTIST CHURCH OF GLENARDEN,600 WATKINS PARK DR,UPPER MARLBORO,MD,20774
03-007,,BARACK OBAMA ELEMENTARY SCHOOL,12700 BROOKE LN,UPPER MARLBORO,MD,20772
04-001,"04-002, 15-004",FREDERICK DOUGLASS HIGH SCHOOL,8000 CROOM RD,UPPER MARLBORO,MD,20772
05-001,05-013,ACCOKEEK ACADEMY,14400 BERRY RD,ACCOKEEK,MD,20607
05-002,,HARMONY HALL REGIONAL CENTER,10701 LIVINGSTON RD,FORT WASHINGTON,MD,20744
05-003,,FRIENDLY HIGH SCHOOL - MPR/CAF,10000 ALLENTOWN RD,FORT WASHINGTON,MD,20744
05-004,,FRIENDLY HIGH SCHOOL - RM 113,10000 ALLENTOWN RD,FORT WASHINGTON,MD,20744
05-005,,POTOMAC LANDING ELEM SCH,12500 FORT WASHINGTON RD,FORT WASHINGTON,MD,20744
05-006,,TAYAC ELEM SCH - M/P RM,8600 ALLENTOWN RD,FORT WASHINGTON,MD,20744
05-007,,BREATH OF LIFE SDA CHURCH,11310 FORT WASHINGTON RD,FORT WASHINGTON,MD,20744
05-008,05-014,ACCOKEEK  PUBLIC LIBRARY,15773 LIVINGSTON RD,ACCOKEEK,MD,20607
05-009,,FT WASH FOREST ELEM SCH - MEDIA CTR,1300 FILLMORE RD,FORT WASHINGTON,MD,20744
05-010,,FT WASH FOREST ELEM SCH - M/P RM,1300 FILLMORE RD,FORT WASHINGTON,MD,20744
05-011,,POTOMAC KNOLLS COMMUNITY CTR,1101 ARAGONA BOULEVARD,FORT WASHINGTON,MD,20744
05-012,,FAITH UNITED METHODIST CHURCH,15769 LIVINGSTON RD,ACCOKEEK,MD,20607
06-001,,BISHOP MCNAMARA HIGH SCHOOL - CAF,68OO MARLBORO PIKE,FORESTVILLE,MD,20747
