DP,POLLING PLACE,STREET,CITY,STATE,ZIP
00-EV01,UPPER MARLBORO COMMUNITY CTR,5400 MARLBORO RACE TRACK RD,UPPER MARLBORO,MD,20772
00-EV02,COLLEGE PARK COMMUNITY CTR,5051 PIERCE AVE,COLLEGE PARK,MD,20740
00-EV03,BOWIE GYMNASIUM,4100 NORTHVIEW DR,BOWIE,MD,20716
00-EV04,WAYNE K. CURRY SPORTS & LEARNING CTR,8001 SHERIFF RD,LANDOVER,MD,20785
00-EV05,SOUTHERN REGIONAL TECHNOLOGY AND RECREATION COMPLEX,7007 BOCK RD,FORT WASHINGTON,MD,20744
00-EV06,LAUREL - BELTSVILLE SENIOR CTR,7120 CONTEE RD,LAUREL,MD,20707
00-EV07,BADEN COMMUNITY CTR,13601 BADEN-WESTWOOD RD,BRANDYWINE,MD,20613
00-EV08,SUITLAND COMMUNITY PARK SCHOOL CTR,5600 REGENCY LN,FORESTVILLE,MD,20747
00-EV09,ACCOKEEK VFW TRAINING AND ACTIVITY CENTER,16111 LIVINGSTON RD,ACCOKEEK,MD,20607
00-EV10,VFW POST 8950 HANSEN HALL,9800 GOOD LUCK RD,LANHAM,MD,20706
00-EV11,KENTLAND COMMUNITY CTR,2413 PINEBROOK AVE,LANDOVER,MD,20785
00-EV12,SOUTHERN AREA AQUATIC AND RECREATION COMPLEX,13601 MISSOURI AVE,BRANDYWINE,MD,20613
00-EV13,ROLLINGCREST-CHILLUM COMMUNITY CTR,6120 SARGENT RD,CHILLUM,MD,20782
